director_name,duration,gross,genre,movie_title,language,country,budget,imdb_score,,,,,,,,,,,,,,,,,,,,,,
James Cameron,178,760505847,Action,Avatar ,English,USA,237000000,7.9,,,,,,,,,,,,,,,,,,,,,,
Gore Verbinski,169,309404152,Action,Pirates of the Caribbean: At World's End ,English,USA,300000000,7.1,,,,,,,,,,A.�Movie Genre Analysis:,,,,,,,,,,,,D. Director Analysis: 
Sam Mendes,148,200074175,Action,Spectre ,English,UK,245000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Christopher Nolan,164,448130642,Action,The Dark Knight Rises ,English,USA,250000000,8.5,,,,,,,,,,Genre,No_of_movies,Mean_imdb,Median_imdb,Mode_imdb,Max_imdb,Min_imdb,Range_imdb,StdDev_imdb,Var_imdb,,,
Andrew Stanton,132,73058679,Action,John Carter ,English,USA,263700000,6.6,,,,,,,,,,Action,970,6.290618557,6.35,6.6,9,2.1,6.9,1.038020576,1.077486717,,,
Sam Raimi,156,336530303,Action,Spider-Man 3 ,English,USA,258000000,6.2,,,,,,,,,,Adventure,378,6.555291005,6.7,7.3,8.6,2.3,6.3,1.114308219,1.241682806,,,
Nathan Greno,100,200807262,Adventure,Tangled ,English,USA,260000000,7.8,,,,,,,,,,Animation,46,6.763043478,7,7.1,8,4.5,3.5,0.972593028,0.945937198,,,
Joss Whedon,141,458991599,Action,Avengers: Age of Ultron ,English,USA,250000000,7.5,,,,,,,,,,Biography,208,7.153846154,7.2,7,8.9,4.5,4.4,0.696564805,0.485202527,,,
David Yates,153,301956980,Adventure,Harry Potter and the Half-Blood Prince ,English,UK,250000000,7.5,,,,,,,,,,Comedy,1036,6.166409266,6.3,6.4,8.8,1.9,6.9,1.040657096,1.082967191,,,
Zack Snyder,183,330249062,Action,Batman v Superman: Dawn of Justice ,English,USA,250000000,6.9,,,,,,,,,,Crime,259,6.944787645,7,7.4,9.3,3.3,6,0.864548238,0.747443656,,,
